Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-10-31,,Lunch,"S&W, Butter Beans, Canned",120.00 g,101.54,,,,,,,,,,,,,,,,,,,,,,,,,,,258.46,,18.46,5.54,,,,2.77,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,6.46,,,,,Legumes and Legume Products
2023-10-31,,Lunch,Poached Eggs,2.00 large,153.85,0.0,0.0,0.0,0.0,74.07,0.07,0.51,0.06,1.39,0.12,1.1,43.67,148.22,0.0,86.36,1.02,0.3,50.0,0.01,,1.18,9.93,0.03,170.72,125.08,30.57,411.17,1.04,1.11,0.0,0.0,0.0,0.0,1.11,10.53,370.22,4.05,1.4,3.24,0.0,0.07,0.03,0.04,0.01,1.3,0.15,1.15,0.29,0.3,0.68,1.07,0.9,0.39,0.66,12.49,0.6,0.15,0.51,0.76,Dairy and Egg Products
2023-10-31,,Dinner,"Lentils, Boiled",150.00 g,174.0,0.0,0.0,12.0,385.26,104.46,0.25,0.11,1.59,0.96,0.27,0.0,271.5,0.63,2.25,0.0,0.17,2.55,28.5,0.38,,5.0,54.0,0.74,270.0,553.5,4.2,3.0,1.91,30.2,8.79,8.13,0.66,20.1,0.59,0.57,0.0,0.1,0.26,0.08,0.0,0.06,0.06,0.0,0.0,0.21,0.0,0.21,0.18,0.38,0.59,0.98,0.95,0.12,0.67,13.53,0.48,0.12,0.36,0.67,Legumes and Legume Products
2023-11-01,,Lunch,"Broccoli, Cooked From Fresh","1.00 cup, whole pieces",33.95,0.0,0.0,4.27,17.1,86.58,0.06,0.12,0.54,0.6,0.19,0.0,104.77,75.1,62.96,0.0,1.96,136.78,38.8,0.06,0.49,0.65,20.37,0.19,64.99,284.23,1.55,39.77,0.44,6.96,3.2,2.86,0.34,0.0,1.35,0.4,0.0,0.04,0.16,0.08,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.14,0.15,0.04,0.11,2.31,0.09,0.03,0.06,0.13,Vegetables and Vegetable Products
2023-11-01,,Dinner,Protein Smoothie_Custom_GH,2.00 full recipe,893.8,0.0,0.0,43.12,876.52,103.6,0.4,0.55,4.15,3.15,0.87,0.3,181.74,37.47,13.16,0.0,3.24,32.35,386.02,1.1,0.82,3.4,219.23,2.16,572.75,1387.6,36.99,218.65,4.56,28.2,16.73,11.17,5.58,0.78,5.78,63.88,3.11,19.47,31.85,6.99,0.0,8.84,8.84,0.0,0.0,22.95,0.0,22.93,1.07,1.28,2.93,5.51,4.66,1.13,2.23,61.29,2.91,1.14,1.61,3.03,
2023-11-01,,Snack,"Hazelnuts, Raw","0.25 cup, chopped",173.07,0.0,0.0,63.82,66.12,1.24,0.18,0.03,0.52,0.26,0.16,0.0,32.49,0.3,1.81,0.0,4.32,4.08,38.81,0.41,,1.0,44.85,1.74,92.28,182.84,0.0,0.0,0.67,7.62,2.42,1.7,0.72,0.14,1.25,15.38,0.0,11.56,2.0,1.13,0.0,0.02,0.02,0.0,0.0,1.98,0.0,1.98,0.07,0.11,0.14,0.28,0.11,0.06,0.17,3.88,0.13,0.05,0.09,0.18,Nut and Seed Products
2023-11-01,,Snack,"Black Beans, Canned, Drained",100.00 g,140.0,0.0,0.0,57.0,210.0,63.81,0.24,0.07,0.65,0.27,0.14,0.0,140.0,0.0,0.9,0.0,0.01,0.6,69.0,0.21,1.0,2.36,53.0,0.53,144.0,389.0,2.9,385.0,1.03,26.05,10.5,9.82,0.68,15.4,0.37,0.62,0.0,0.14,0.49,0.1,0.0,0.18,0.18,0.0,0.0,0.14,0.0,0.14,0.08,0.21,0.39,0.7,0.52,0.11,0.47,8.23,0.29,0.1,0.2,0.5,Legumes and Legume Products
2023-11-01,,Lunch,"Beans, White, Mature Seeds, Canned",100.00 g,114.0,,,,,70.1,0.1,0.04,0.11,0.19,0.08,,65.0,,,,0.79,2.9,73.0,0.23,,2.99,51.0,0.51,91.0,454.0,1.6,340.0,1.12,21.2,4.8,,,16.11,0.29,0.29,,0.03,0.12,0.07,,0.06,,,,0.07,,,0.08,0.2,0.32,0.58,0.5,0.11,0.39,7.26,0.31,0.09,0.2,0.38,Legumes and Legume Products
2023-11-01,,Lunch,"Lettuce, Mixed Greens","1.00 cup, chopped",5.86,0.0,0.0,100.99,1.24,33.03,0.02,0.03,0.13,0.04,0.04,0.0,22.14,75.86,4.55,0.0,0.23,63.33,13.65,0.01,,0.23,10.94,0.07,10.5,97.47,0.11,13.74,0.1,1.08,0.45,0.37,0.09,0.01,0.36,0.09,0.0,0.0,0.04,0.01,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.53,0.02,0.01,0.01,0.03,Vegetables and Vegetable Products
2023-11-01,,Lunch,"Locatelli, Pecorino Romano",10.00 g,39.29,,,,,,,0.05,,,,,,42.86,0.0,,,,89.29,,,0.0,,,53.57,,,171.43,,0.18,0.0,,,,0.18,3.21,10.71,,,2.14,0.0,,,,,,,,,,,,,,,2.5,,,,,Dairy and Egg Products
2023-11-01,,Lunch,"Chickpeas, Canned, Drained and Rinsed",230.00 g,319.7,0.0,0.0,20.7,197.48,153.46,0.06,0.03,0.32,0.55,0.27,0.0,110.4,2.68,0.23,0.0,0.67,7.82,92.0,0.61,,2.39,65.32,1.71,197.8,315.1,7.13,464.6,1.66,51.82,14.72,13.78,0.97,31.72,9.22,6.37,0.0,1.12,2.22,0.49,0.0,0.08,0.08,0.0,0.0,1.71,0.0,1.71,0.22,0.45,0.7,1.16,1.09,0.21,0.87,16.22,0.61,0.16,0.4,0.69,Legumes and Legume Products
2023-11-01,,Lunch,"Aubergine, Cooked",1.00 small,143.5,0.0,0.0,52.48,283.72,367.65,0.31,0.08,2.46,0.31,0.35,0.0,57.4,7.52,5.33,0.0,1.68,11.89,24.6,0.24,0.82,1.03,45.1,0.46,61.5,504.3,0.41,4.1,0.49,35.79,10.25,7.71,1.72,2.75,13.12,0.94,0.0,0.08,0.38,0.18,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.15,0.21,0.16,0.04,0.14,3.4,0.12,0.03,0.09,0.18,Vegetables and Vegetable Products
2023-11-01,,Breakfast,"Florette, Mixed, Crunchy & Fresh Leaves",30.00 g,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.02,0.81,,,,0.21,0.06,,,,0.02,,,,,,,,,,,,,,,,0.36,,,,,Vegetables and Vegetable Products
2023-11-01,,Breakfast,"Black Beans, Canned, Drained",120.00 g,168.0,0.0,0.0,68.4,252.0,76.57,0.28,0.08,0.78,0.32,0.17,0.0,168.0,0.0,1.08,0.0,0.01,0.72,82.8,0.25,1.2,2.83,63.6,0.63,172.8,466.8,3.48,462.0,1.24,31.26,12.6,11.78,0.82,18.48,0.44,0.74,0.0,0.17,0.59,0.12,0.0,0.21,0.21,0.0,0.0,0.16,0.0,0.16,0.09,0.25,0.46,0.84,0.62,0.13,0.57,9.88,0.35,0.12,0.24,0.6,Legumes and Legume Products
2023-11-01,,Breakfast,"Mushrooms, Cooked from Fresh",1.00 oz,7.94,0.0,0.0,0.14,22.68,25.82,0.02,0.09,1.26,0.61,0.03,0.0,5.1,0.0,1.13,2.27,0.0,0.0,1.7,0.14,,0.49,3.4,0.03,24.66,100.92,3.37,0.57,0.25,1.5,0.62,0.6,0.02,0.35,0.66,0.13,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.01,0.02,0.02,0.02,0.01,0.02,0.62,0.02,0.01,0.01,0.05,Vegetables and Vegetable Products
2023-11-01,,Breakfast,"Zucchini, Cooked from Fresh",30.00 g,4.5,0.0,0.0,0.21,2.11,28.57,0.01,0.01,0.15,0.09,0.02,0.0,8.4,16.75,3.87,0.0,0.04,1.26,5.4,0.02,0.12,0.11,5.7,0.05,11.1,79.2,0.06,0.9,0.1,0.81,0.3,0.26,0.04,0.0,0.51,0.11,0.0,0.01,0.05,0.02,0.0,0.03,0.03,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.34,0.0,0.0,0.01,0.01,Vegetables and Vegetable Products
2023-11-01,,Breakfast,Poached Eggs,3.00 large,230.77,0.0,0.0,0.0,0.0,111.1,0.1,0.76,0.1,2.08,0.18,1.65,65.51,222.33,0.0,129.54,1.53,0.45,75.0,0.02,,1.77,14.89,0.04,256.08,187.62,45.86,616.75,1.56,1.67,0.0,0.0,0.0,0.0,1.67,15.8,555.33,6.07,2.1,4.86,0.0,0.1,0.04,0.06,0.01,1.95,0.22,1.72,0.43,0.44,1.02,1.6,1.35,0.58,0.99,18.73,0.9,0.23,0.76,1.14,Dairy and Egg Products
2023-11-01,,Lunch,"Zucchini, Cooked from Fresh",1.00 small,15.0,0.0,0.0,0.7,7.05,95.22,0.04,0.02,0.51,0.29,0.08,0.0,28.0,55.83,12.9,0.0,0.12,4.2,18.0,0.05,0.4,0.37,19.0,0.17,37.0,264.0,0.2,3.0,0.33,2.69,1.0,0.86,0.14,0.0,1.71,0.36,0.0,0.03,0.15,0.07,0.0,0.09,0.09,0.0,0.0,0.06,0.0,0.06,0.01,0.01,0.02,0.04,0.04,0.01,0.02,1.14,0.02,0.01,0.02,0.03,Vegetables and Vegetable Products
2023-11-01,,Lunch,Cabbage Soup,1.00 cup,88.81,0.0,0.0,12.83,37.91,222.67,0.1,0.1,2.31,0.33,0.2,0.1,33.95,87.43,18.79,0.0,0.5,46.75,37.74,0.12,,1.48,28.36,0.27,87.56,448.0,2.37,572.61,0.59,14.92,2.88,2.21,0.67,7.09,3.49,2.01,0.0,0.49,0.95,0.42,0.02,0.11,0.11,0.0,0.0,0.73,0.0,0.73,0.05,0.11,0.16,0.28,0.27,0.08,0.16,4.16,0.17,0.05,0.12,0.19,"Soups, Sauces, and Gravies"
2023-11-02,5:52 PM,Dinner,"Artichoke Hearts or Globe, Cooked from Fresh",1.00 small,53.0,0.0,0.0,6.8,33.29,84.08,0.05,0.09,1.11,0.24,0.08,0.0,89.0,0.67,7.4,0.0,0.19,14.8,21.0,0.13,,0.61,42.0,0.23,73.0,286.0,0.2,60.0,0.4,11.95,5.7,2.58,3.12,0.0,0.99,0.34,0.0,0.01,0.15,0.08,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.18,0.28,0.26,0.0,0.23,2.89,0.22,0.0,0.12,0.24,Vegetables and Vegetable Products
2023-11-02,5:55 PM,Dinner,"Kefir, 3.5% Fat",100.00 g,65.0,0.9,0.0,4.2,0.0,87.5,0.04,0.17,0.09,0.45,0.05,0.27,3.96,61.67,1.0,3.2,0.11,0.21,120.0,0.01,,0.05,12.0,0.01,100.0,150.0,2.2,50.0,0.36,4.0,0.0,0.0,0.0,0.0,4.0,3.5,13.0,0.72,0.09,2.06,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.06,0.07,0.21,0.34,0.27,0.06,0.18,3.3,0.17,0.05,0.18,0.22,Dairy and Egg Products
2023-11-02,5:53 PM,Dinner,"Pecans, Raw","0.25 cup, chopped",190.76,0.0,0.0,17.44,123.17,0.71,0.15,0.04,0.26,0.24,0.05,0.0,6.0,0.76,0.3,0.0,0.38,1.12,14.99,0.25,,0.65,28.07,0.62,68.94,98.1,1.04,0.0,1.07,3.46,1.58,1.49,0.09,0.13,1.08,19.97,0.0,10.7,6.25,1.76,0.0,0.29,0.29,0.0,0.0,5.62,0.0,5.62,0.04,0.07,0.1,0.18,0.09,0.05,0.13,2.71,0.08,0.03,0.09,0.12,Nut and Seed Products
2023-11-02,5:53 PM,Dinner,"Green Beans, Cooked from Fresh","1.00 cup, cut pieces",43.75,0.0,0.0,16.87,48.75,111.52,0.09,0.12,0.77,0.09,0.07,0.0,41.25,39.58,12.12,0.0,0.57,59.87,55.0,0.07,0.75,0.81,22.5,0.36,36.25,182.5,0.25,1.25,0.31,9.85,4.0,3.2,0.8,1.45,4.54,0.35,0.0,0.01,0.18,0.08,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.09,0.14,0.11,0.03,0.09,2.36,0.1,0.02,0.05,0.12,Vegetables and Vegetable Products
2023-11-02,5:52 PM,Dinner,Poached Eggs,2.00 large,153.85,0.0,0.0,0.0,0.0,74.07,0.07,0.51,0.06,1.39,0.12,1.1,43.67,148.22,0.0,86.36,1.02,0.3,50.0,0.01,,1.18,9.93,0.03,170.72,125.08,30.57,411.17,1.04,1.11,0.0,0.0,0.0,0.0,1.11,10.53,370.22,4.05,1.4,3.24,0.0,0.07,0.03,0.04,0.01,1.3,0.15,1.15,0.29,0.3,0.68,1.07,0.9,0.39,0.66,12.49,0.6,0.15,0.51,0.76,Dairy and Egg Products
2023-11-02,5:52 PM,Dinner,"Chickpeas, Canned, Drained and Rinsed",300.00 g,417.0,0.0,0.0,27.0,257.58,200.16,0.08,0.05,0.42,0.72,0.35,0.0,144.0,3.5,0.3,0.0,0.87,10.2,120.0,0.8,,3.12,85.2,2.24,258.0,411.0,9.3,606.0,2.16,67.59,19.2,17.97,1.26,41.37,12.03,8.31,0.0,1.46,2.9,0.64,0.0,0.11,0.11,0.0,0.0,2.23,0.0,2.23,0.29,0.59,0.91,1.52,1.43,0.28,1.14,21.15,0.79,0.21,0.53,0.89,Legumes and Legume Products
2023-11-02,1:26 PM,Lunch,Alfalfa Sprouts,50.00 g,11.5,0.0,0.0,0.45,2.0,46.41,0.04,0.06,0.24,0.28,0.02,0.0,18.0,3.88,4.1,0.0,0.01,15.25,16.0,0.08,,0.48,13.5,0.09,35.0,39.5,0.3,3.0,0.46,1.05,0.95,0.65,0.3,0.0,0.1,0.35,0.0,0.03,0.2,0.03,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.13,0.11,0.02,0.1,2.0,0.07,0.02,0.07,0.07,Vegetables and Vegetable Products
2023-11-02,1:25 PM,Lunch,"Chickpeas, Garbanzo Beans, Bengal Gram, Mature Seeds, Raw",1.25 oz,133.95,,,,,2.72,0.17,0.08,0.55,0.56,0.19,,197.38,1.06,1.42,,0.29,3.19,20.2,0.23,,1.53,28.0,1.47,89.3,254.44,,8.5,0.98,22.31,4.32,,,14.19,3.79,2.14,,0.49,0.97,0.21,,0.04,,,,0.93,,,0.1,0.2,0.31,0.52,0.49,0.1,0.39,7.25,0.27,0.07,0.18,0.31,Legumes and Legume Products
2023-11-02,1:24 PM,Lunch,"Split Pea Sprouts, Raw",20.00 g,24.8,0.0,0.0,2.85,21.48,12.45,0.05,0.03,0.62,0.21,0.05,0.0,28.8,1.67,2.08,0.0,0.01,1.08,7.2,0.05,,0.45,11.2,0.09,33.0,76.2,0.12,4.0,0.21,5.42,2.31,2.29,0.02,1.97,0.14,0.14,0.0,0.01,0.07,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.07,0.08,0.01,0.05,1.76,0.04,0.0,0.03,0.04,Vegetables and Vegetable Products
2023-11-02,1:24 PM,Lunch,"Lentil Sprouts, Raw",20.00 g,21.2,0.0,0.0,1.61,21.4,13.47,0.05,0.03,0.23,0.12,0.04,0.0,20.0,0.45,3.3,0.0,0.02,6.6,5.0,0.07,,0.64,7.4,0.1,34.6,64.4,0.12,2.2,0.3,4.43,0.41,0.41,0.0,3.76,0.12,0.11,0.0,0.02,0.04,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.07,0.13,0.14,0.02,0.09,1.79,0.07,0.0,0.05,0.08,Vegetables and Vegetable Products
2023-11-02,1:21 PM,Lunch,"Cauliflower, Cooked from Fresh",130.00 g,29.9,0.0,0.0,4.29,5.46,120.9,0.05,0.07,0.53,0.66,0.22,0.0,57.2,0.76,57.59,0.0,0.09,17.94,20.8,0.02,0.78,0.42,11.7,0.17,41.6,184.6,0.78,19.5,0.22,5.34,2.99,2.5,0.49,0.21,2.7,0.59,0.0,0.04,0.28,0.09,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.14,0.13,0.03,0.09,2.39,0.09,0.03,0.05,0.12,Vegetables and Vegetable Products
2023-11-02,1:21 PM,Lunch,"Goat Cheese, Soft",100.00 g,264.0,0.0,0.0,10.0,0.0,60.75,0.07,0.38,0.43,0.68,0.25,0.19,12.0,287.5,0.0,15.0,0.18,1.8,140.0,0.73,,1.9,16.0,0.1,256.0,26.0,2.8,459.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,21.08,46.0,4.81,0.5,14.58,0.71,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.08,0.51,0.77,1.6,1.33,0.49,0.74,18.52,0.69,0.2,0.72,1.27,Dairy and Egg Products
2023-11-02,1:26 PM,Lunch,"Rocket, Raw",50.00 g,12.5,0.0,0.0,0.3,1.0,45.86,0.02,0.04,0.15,0.22,0.04,0.0,48.5,59.33,7.5,0.0,0.22,54.3,80.0,0.04,,0.73,23.5,0.16,26.0,184.5,0.15,13.5,0.24,1.83,0.8,0.69,0.11,0.0,1.03,0.33,0.0,0.02,0.16,0.04,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.29,,,,,Vegetables and Vegetable Products
2023-11-03,10:27 AM,Breakfast,"Macro, Organic Salad Bowl Mix, Veggie & Baby Leaf",50.00 g,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,2.15,1.2,,,,0.95,0.25,,,,0.25,,,,,,,,,,,,,,,,0.7,,,,,Vegetables and Vegetable Products
2023-11-03,10:19 AM,Breakfast,"Chicken Breast, Skinless, Cooked",120.00 g,207.6,0.0,0.0,0.0,0.0,77.71,0.08,0.14,14.91,1.17,0.72,0.41,4.8,10.8,0.0,6.0,0.32,0.36,18.0,0.06,,1.27,32.4,0.02,259.2,296.4,29.28,92.4,1.48,0.0,0.0,0.0,0.0,0.0,0.0,5.41,102.0,1.85,1.18,1.52,0.11,0.12,0.05,0.04,0.01,0.98,0.1,0.89,0.48,1.15,1.96,2.78,3.15,1.03,1.47,37.09,1.57,0.43,1.25,1.84,Poultry Products
2023-11-03,10:20 AM,Breakfast,"Broccoli, Cooked From Fresh",70.00 g,24.5,0.0,0.0,3.08,12.34,62.48,0.04,0.09,0.39,0.43,0.14,0.0,75.6,54.19,45.43,0.0,1.41,98.7,28.0,0.04,0.35,0.47,14.7,0.14,46.9,205.1,1.12,28.7,0.32,5.03,2.31,2.07,0.24,0.0,0.97,0.29,0.0,0.03,0.12,0.06,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.1,0.11,0.03,0.08,1.67,0.07,0.02,0.04,0.1,Vegetables and Vegetable Products
2023-11-03,10:20 AM,Breakfast,"Zucchini, Cooked from Fresh",1.00 small,15.0,0.0,0.0,0.7,7.05,95.22,0.04,0.02,0.51,0.29,0.08,0.0,28.0,55.83,12.9,0.0,0.12,4.2,18.0,0.05,0.4,0.37,19.0,0.17,37.0,264.0,0.2,3.0,0.33,2.69,1.0,0.86,0.14,0.0,1.71,0.36,0.0,0.03,0.15,0.07,0.0,0.09,0.09,0.0,0.0,0.06,0.0,0.06,0.01,0.01,0.02,0.04,0.04,0.01,0.02,1.14,0.02,0.01,0.02,0.03,Vegetables and Vegetable Products
2023-11-08,5:06 PM,Dinner,"Asparagus, Cooked from Fresh","1.00 cup, cut pieces",39.6,0.0,0.0,8.1,36.0,166.74,0.29,0.25,1.95,0.41,0.14,0.0,268.21,90.6,13.86,0.0,2.7,91.08,41.4,0.3,1.44,1.64,25.2,0.28,97.2,403.22,10.98,25.2,1.08,7.4,3.6,2.97,0.63,0.0,2.34,0.4,0.0,0.0,0.19,0.09,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.15,0.25,0.2,0.06,0.15,4.32,0.17,0.05,0.1,0.23,Vegetables and Vegetable Products
2023-11-08,5:05 PM,Dinner,"Rocket, Raw",50.00 g,12.5,0.0,0.0,0.3,1.0,45.86,0.02,0.04,0.15,0.22,0.04,0.0,48.5,59.33,7.5,0.0,0.22,54.3,80.0,0.04,,0.73,23.5,0.16,26.0,184.5,0.15,13.5,0.24,1.83,0.8,0.69,0.11,0.0,1.03,0.33,0.0,0.02,0.16,0.04,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.29,,,,,Vegetables and Vegetable Products
2023-11-08,5:01 PM,Dinner,"Prawns, Cooked from Fresh",100.00 g,99.0,0.0,0.0,0.1,0.0,74.33,0.03,0.02,2.42,0.47,0.22,1.5,22.0,15.0,0.0,0.64,0.4,0.1,70.0,0.38,,0.51,39.0,0.03,237.0,259.0,44.7,111.0,1.64,0.2,0.0,0.0,0.0,0.2,0.0,0.28,189.0,0.05,0.08,0.06,0.0,0.03,0.0,0.02,0.02,0.03,0.01,0.02,0.29,0.53,1.11,2.05,2.29,0.7,1.04,23.98,0.95,0.27,0.91,1.12,Finfish and Shellfish Products
2023-11-08,5:03 PM,Dinner,"Soup Time, Thai Coconut Prawn",1.00 oz,81.58,,,,,,,,,,,,,0.0,0.0,,,,28.93,,,1.15,,,,,,144.64,,17.94,8.68,,,,2.89,1.74,2.89,,,1.16,0.0,,,,,,,,,,,,,,,4.05,,,,,"Soups, Sauces, and Gravies"
2023-11-08,5:01 PM,Dinner,"Langoustine, Boiled",50.00 g,44.07,0.0,,,,40.35,0.04,0.03,1.35,0.12,0.05,1.25,2.5,,,,1.78,,62.5,0.16,69.5,0.84,26.5,0.06,98.5,107.0,24.5,108.0,0.7,0.0,0.0,,,0.0,0.0,0.4,66.5,0.08,0.11,0.08,,0.09,,,,0.02,,,,,,,,,,9.85,,,,,Finfish and Shellfish Products
2023-11-08,5:05 PM,Dinner,"Fennel Bulb, Raw",50.00 g,15.5,0.0,0.0,9.85,12.96,45.11,0.01,0.02,0.32,0.12,0.02,0.0,13.5,24.08,6.0,0.0,0.29,31.4,24.5,0.03,,0.37,8.5,0.1,25.0,207.0,0.35,26.0,0.1,3.65,1.55,1.0,0.55,0.11,1.97,0.1,0.0,0.03,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.02,0.0,0.02,0.62,0.02,0.01,0.01,0.02,Vegetables and Vegetable Products
2023-11-09,6:02 PM,Dinner,"Minestrone Soup, Homemade",1.00 cup,157.13,0.0,0.0,10.72,126.24,235.0,0.18,0.11,1.75,0.26,0.15,0.19,105.77,60.93,8.31,0.0,0.83,14.35,40.21,0.17,,2.23,35.54,0.47,125.0,570.2,10.06,576.23,0.74,21.0,3.91,2.82,1.1,12.58,2.67,4.57,0.0,2.86,0.76,0.63,0.01,0.09,0.09,0.0,0.0,0.6,0.0,0.6,0.1,0.22,0.33,0.58,0.46,0.12,0.38,8.91,0.29,0.1,0.2,0.37,"Soups, Sauces, and Gravies"
2023-11-09,6:03 PM,Dinner,"Wegmans, Portobello Mushrooms, Organic",1.00 x 3.0 oz,20.0,,,,,78.9,0.05,0.11,3.82,0.97,0.13,0.04,23.8,,1.2,8.5,0.02,,2.55,0.24,,0.36,,0.06,91.8,309.4,15.81,15.0,0.45,3.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,0.01,0.05,0.07,0.11,0.1,0.02,0.06,3.0,0.09,0.03,0.01,0.06,Vegetables and Vegetable Products
2023-11-09,6:03 PM,Dinner,"S&W, Butter Beans, Canned",60.00 g,50.77,,,,,,,,,,,,,,,,,,,,,,,,,,,129.23,,9.23,2.77,,,,1.38,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,3.23,,,,,Legumes and Legume Products
2023-11-09,6:05 PM,Dinner,"Lentils, Boiled",50.00 g,58.0,0.0,0.0,4.0,128.42,34.82,0.08,0.04,0.53,0.32,0.09,0.0,90.5,0.21,0.75,0.0,0.06,0.85,9.5,0.13,,1.67,18.0,0.25,90.0,184.5,1.4,1.0,0.64,10.07,2.93,2.71,0.22,6.7,0.2,0.19,0.0,0.03,0.09,0.03,0.0,0.02,0.02,0.0,0.0,0.07,0.0,0.07,0.06,0.13,0.2,0.33,0.32,0.04,0.22,4.51,0.16,0.04,0.12,0.22,Legumes and Legume Products
2023-11-09,6:05 PM,Dinner,"Bok Choy, Cooked",50.00 g,6.0,0.0,0.0,0.57,5.35,47.78,0.02,0.03,0.21,0.04,0.08,0.0,20.5,106.23,13.0,0.0,0.05,17.0,46.5,0.01,,0.52,5.5,0.07,14.5,185.5,0.2,17.0,0.09,0.89,0.5,0.46,0.04,0.0,0.42,0.08,0.0,0.01,0.04,0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.05,0.05,0.0,0.02,0.78,0.03,0.01,0.02,0.03,Vegetables and Vegetable Products
2023-11-09,6:06 PM,Dinner,"Arz, Labne Kefir Cheese",50.00 g,100.0,,,,,,,,,,,,,100.05,0.0,,,,33.5,,,0.0,,,,,,125.0,,1.67,0.0,,,,0.0,10.0,33.5,,,5.84,0.0,,,,,,,,,,,,,,,1.67,,,,,Dairy and Egg Products
2023-11-09,6:06 PM,Dinner,"Aubergine, Cooked",60.00 g,21.0,0.0,0.0,7.68,41.52,53.8,0.05,0.01,0.36,0.05,0.05,0.0,8.4,1.1,0.78,0.0,0.25,1.74,3.6,0.04,0.12,0.15,6.6,0.07,9.0,73.8,0.06,0.6,0.07,5.24,1.5,1.13,0.25,0.4,1.92,0.14,0.0,0.01,0.06,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.02,0.01,0.02,0.5,0.02,0.0,0.01,0.03,Vegetables and Vegetable Products
2023-11-09,6:03 PM,Dinner,"Goat Cheese, Soft",100.00 g,264.0,0.0,0.0,10.0,0.0,60.75,0.07,0.38,0.43,0.68,0.25,0.19,12.0,287.5,0.0,15.0,0.18,1.8,140.0,0.73,,1.9,16.0,0.1,256.0,26.0,2.8,459.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,21.08,46.0,4.81,0.5,14.58,0.71,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.08,0.51,0.77,1.6,1.33,0.49,0.74,18.52,0.69,0.2,0.72,1.27,Dairy and Egg Products
2023-11-10,5:11 PM,Dinner,"Rote Bete, Cooked Beetroot",20.00 g,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,1.16,,,,,0.94,0.0,,,,0.0,,,,,,,,,,,,,,,,0.24,,,,,Vegetables and Vegetable Products
